,Station,Latitude,Longitude,Zone,Postcode,Places to visit nearby,Fun fact
122,Chislehurst,51.405599,0.057492,5,BR7 5NN,Chislehurst Caves,Underground chalk caves and tunnels
123,Chiswick,51.480781,-0.267013,3,W4 2QE,"Hogarth's House
Chiswick House and Gardens",Historic artist's house and Palladian villa
124,Chiswick Park,51.494370,-0.267737,3,W4 5NE,-,Modern business park development
125,Chorleywood,51.654265,-0.518334,7,WD3 5ND,Chorleywood Common,Chilterns countryside location
126,Church Street,51.373706,-0.104347,3,CR0 1RN,-,-
127,City Thameslink,51.513935,-0.103618,1,EC4M 7JH,-,Connects north-south London rail networks
128,Clapham Common,51.461803,-0.138315,2,SW4 7AJ,"Clapham Common
Holy Trinity Clapham",Large historic common and evangelical church
129,Clapham High Street,51.465469,-0.132465,2,SW4 6DQ,-,-
130,Clapham Junction,51.464367,-0.170315,2,SW11 2QP,-,Busiest railway junction in Europe
131,Clapham North,51.464916,-0.129910,2,SW4 7TS,-,-
132,Clapham South,51.452676,-0.147984,2,SW12 9DU,-,-
133,Clapton,51.561569,-0.057489,2,E5 9JP,-,-
134,Clock House,51.408540,-0.040702,4,BR3 4PR,-,-
135,Cockfosters,51.652024,-0.149917,5,EN4 0DZ,-,Northern terminus of the Piccadilly line
136,Colindale,51.595230,-0.250288,4,NW9 5HR,RAF Museum London,World-class aviation museum collection
137,Colliers Wood,51.418759,-0.177415,3,SW19 2HR,-,-
138,Coombe Lane,51.359789,-0.059532,3,CR0 5RF,-,-
139,Coulsdon South,51.315801,-0.137903,6,CR5 3EA,-,-
140,Coulsdon Town,51.322453,-0.134347,6,CR5 2JA,-,-
141,Covent Garden,51.512760,-0.124507,1,WC2E 9JT,"Royal Opera House
Covent Garden Market
London Transport Museum",Famous for street performers and former fruit market
142,Crayford,51.448547,0.178503,6,DA1 3PY,-,-
143,Crews Hill,51.684474,-0.106844,6,EN2 8AY,Garden centers and nurseries,Famous for plant nurseries and gardening
144,Cricklewood,51.558422,-0.212548,3,NW2 1HL,-,-
145,Crofton Park,51.455179,-0.036547,3,SE4 2RA,-,-
146,Crossharbour,51.495840,-0.014933,2,E14 8AD,Mudchute Park and Farm,Urban farm in London's Docklands
147,Crouch Hill,51.571327,-0.117133,3,N4 4AU,-,-
148,Croxley,51.647005,-0.441604,7,WD3 3DY,-,-
149,Crystal Palace,51.418170,-0.072607,3,SE19 2AZ,"Crystal Palace Park
National Sports Centre",Site of the original Victorian Great Exhibition building
150,Custom House,51.509622,0.025773,3,E16 3BX,-,-
151,Cutty Sark for Maritime Greenwich,51.481944,-0.010582,2,SE10 9SW,"Cutty Sark
National Maritime Museum
Royal Observatory
Greenwich Park",Home of Greenwich Mean Time and Prime Meridian
152,Cyprus,51.508527,0.063841,3,E6 5PH,-,-
153,Dagenham Dock,51.526287,0.145031,5,RM9 6RA,-,-
154,Dagenham East,51.544188,0.165833,5,RM10 8AA,-,-
155,Dagenham Heathway,51.541212,0.147680,5,RM9 5AN,-,-
156,Dalston Junction,51.546094,-0.074994,2,E8 3DL,Rio Cinema,Historic independent art house cinema
157,Dalston Kingsland,51.548668,-0.076227,2,E8 2JS,-,-
158,Debden,51.645492,0.083801,6,IG10 3TG,-,Essex countryside location
159,Denmark Hill,51.468200,-0.090988,2,SE5 8BB,"King's College Hospital
Maudsley Hospital",Major teaching hospital complex
160,Deptford,51.478890,-0.026196,2,SE8 3NU,-,Historic naval dockyard area
161,Deptford Bridge,51.474477,-0.022052,2,SE10 8BU,-,-
162,Devons Road,51.522258,-0.018008,2,E3 3QX,-,-
163,Dollis Hill,51.551850,-0.238798,3,NW10 5NB,Gladstone Park,Historic mansion and parkland
164,Drayton Green,51.516004,-0.329611,4,W13 0JX,-,-
165,Drayton Park,51.553078,-0.105770,2,N5 1NT,-,-
166,Dundonald Road,51.417398,-0.207527,3,SW19 3QJ,-,-
167,Ealing Broadway,51.514861,-0.302010,3,W5 2NU,"Pitzhanger Manor Gallery
Walpole Park",Historic Sir John Soane designed manor
168,Ealing Common,51.510248,-0.287151,3,W5 3LD,Ealing Common parkland,Large historic common and green space
169,Earls Court,51.491356,-0.194314,1,SW5 9QA,-,Former major exhibition venue location
170,Earlsfield,51.442239,-0.187273,3,SW18 4SW,-,-
171,East Acton,51.516263,-0.248112,2,W12 0BP,-,-
172,East Croydon,51.375716,-0.091863,5,CR0 1LF,-,Major transport interchange for South London
173,East Dulwich,51.461625,-0.080437,2,SE22 8EF,Dulwich Picture Gallery,World's first purpose-built public art gallery
174,East Finchley,51.587332,-0.164744,3,N2 0NW,-,-
175,East Ham,51.539246,0.051516,3,E6 2JA,-,-
176,East India,51.508684,-0.002370,2,E14 9PS,-,Named after the East India Company
177,East Putney,51.458879,-0.210998,2,SW15 6SN,-,-
178,Eastcote,51.576551,-0.396823,5,HA5 1QZ,-,-
179,Eden Park,51.390796,-0.026670,5,BR3 3HQ,-,-
180,Edgware,51.614229,-0.275094,5,HA8 7AW,-,Northern terminus of the Northern line
181,Edgware Road,51.520645,-0.170540,1,W2 1DY,-,Historic Roman road Watling Street route
182,Edgware Road,51.519998,-0.167668,1,NW1 5DH,-,Historic Roman road Watling Street route
183,Edmonton Green,51.625116,-0.061639,4,N9 9DX,-,-
184,Elephant and Castle,51.495849,-0.100739,1,SE1 6LW,"Imperial War Museum
Shopping Centre",Historic road junction with major regeneration
185,Elm Park,51.549125,0.197253,6,RM12 4RW,-,-
186,Elmers End,51.398291,-0.049464,4,BR3 4EJ,-,-
187,Elmstead Woods,51.417081,0.044229,4,BR7 5EW,-,-
188,Elstree and Borehamwood,51.652875,-0.279829,6,WD6 3LS,Elstree Studios,Historic film and television studios
189,Eltham,51.455662,0.052329,4,SE9 6UB,"Eltham Palace
Well Hall Pleasaunce",Art Deco palace with medieval great hall
190,Elverson Road,51.468372,-0.016816,2,SE8 4LA,-,-
191,Embankment,51.507312,-0.122367,1,WC2N 6NS,"Victoria Embankment Gardens
Cleopatra's Needle
Somerset House",Built on reclaimed land from the Thames
192,Emerson Park,51.569115,0.220223,6,RM11 2JR,-,-
193,Enfield Chase,51.652722,-0.090704,5,EN2 7AA,-,-
194,Enfield Lock,51.670846,-0.028391,6,EN3 6BW,-,-
195,Enfield Town,51.651970,-0.079330,5,EN1 1YB,-,-
196,Epping,51.693686,0.113826,6,CM16 4HW,Epping Forest,Gateway to ancient royal hunting forest
197,Epsom Downs,51.323659,-0.238970,6,KT17 4JX,"Epsom Downs Racecourse
Epsom Common",Famous for the Derby horse race
198,Erith,51.481648,0.174261,6,DA8 1TY,-,Historic riverside town on Thames
199,Essex Road,51.540633,-0.096366,2,N1 2SU,-,-
200,Euston,51.528664,-0.133296,1,NW1 2DU,"British Library
Wellcome Collection",Major railway terminus since 1837
201,Euston Square,51.528664,-0.133296,1,NW1 2BN,-,-
202,Fairlop,51.596194,0.090506,4,IG6 2QG,Fairlop Waters Country Park,-
203,Falconwood,51.467098,0.124107,4,SE9 2JY,-,-
204,Farringdon,51.520385,-0.105459,1,EC1M 6BB,"Smithfield Market
Charterhouse",Historic meat market and medieval monastery
205,Fieldway,51.377281,-0.147421,3,CR0 4QS,-,-
206,Finchley Central,51.601124,-0.192581,4,N3 1PR,-,-
207,Finchley Road,51.547230,-0.180651,2,NW3 6LH,-,-
208,Finchley Road and Frognal,51.548883,-0.182396,2,NW3 6YB,-,-
209,Finsbury Park,51.564249,-0.106499,2,N4 2DH,Finsbury Park,Large Victorian park with events venue
210,Fulham Broadway,51.480341,-0.195235,2,SW6 1BY,"Chelsea FC Stamford Bridge
Fulham Palace",Football stadium and historic palace
211,Gallions Reach,51.509537,0.071264,3,E6 5HT,-,-
212,Gants Hill,51.576412,0.065883,4,IG2 6TJ,-,Art Deco underground station design
213,Gatwick Airport,51.148056,-0.190278,6,RH6 0NP,Gatwick Airport,Major international airport
214,Gidea Park,51.579498,0.204468,6,RM2 6BX,-,-
215,Gloucester Road,51.494263,-0.182777,1,SW7 4SF,"Natural History Museum nearby
Victoria and Albert Museum",Serves South Kensington museums
216,Golders Green,51.572625,-0.194636,3,NW11 9BX,Hampstead Heath Extension,Historic Jewish community area
217,Goldhawk Road,51.501651,-0.226664,2,W12 8EG,-,-
218,Goodge Street,51.520374,-0.134533,1,W1T 2HD,University College London nearby,Serves Fitzrovia district
219,Grange Hill,51.628429,0.099006,4,IG7 5QW,-,-
220,Great Portland Street,51.524284,-0.143813,1,W1W 5QJ,-,-
221,Green Park,51.506947,-0.142787,1,SW1A 1RJ,"Green Park
Buckingham Palace nearby",Royal park with no flower beds
222,Greenford,51.542271,-0.345544,4,UB6 9AA,-,-
223,Greenwich,51.481944,-0.010582,2,SE10 9SW,"Cutty Sark
National Maritime Museum
Royal Observatory
Greenwich Park",UNESCO World Heritage Site
224,Gunnersbury,51.491112,-0.275337,3,W4 4LL,Gunnersbury Park Museum,Historic Rothschild family estate
225,Hainault,51.602949,0.093046,4,IG6 3UT,-,-
226,Ham Street,51.337583,-0.310025,6,KT2 7JH,-,-
227,Hammersmith,51.493568,-0.224233,2,W6 9DP,"Hammersmith Apollo
River Thames",Major transport interchange and entertainment venue
229,Hampstead Heath,51.555591,-0.165218,2,NW3 2PT,"Hampstead Heath
Parliament Hill
Kenwood House",Ancient heathland with panoramic city views
230,Hanger Lane,51.530114,-0.293515,3,W5 1DP,-,-
231,Harlesden,51.536804,-0.257738,3,NW10 4UF,-,-
232,Harold Wood,51.578579,0.225043,6,RM3 0QW,-,-
233,Harringay,51.583004,-0.110512,3,N4 3JP,-,-
234,Harrow & Wealdstone,51.592851,-0.334667,5,HA1 2ES,"Harrow School
St Mary's Church",Scene of major railway disaster in 1952
235,Harrow-on-the-Hill,51.577893,-0.337207,5,HA1 3TP,Harrow School,Famous public school founded 1572
236,Hatton Cross,51.460756,-0.422112,5,TW6 3RU,-,Close to Heathrow Airport
237,Havering-atte-Bower,51.608025,0.180872,6,RM4 1QH,-,-
238,Hayes,51.370814,0.005681,5,BR2 7EG,-,-
239,Hayes and Harlington,51.505039,-0.421069,5,UB3 4DR,-,-
240,Headstone Lane,51.594364,-0.340631,5,HA2 6PG,-,-
241,Heathrow Terminal 2 & 3,51.471626,-0.454421,6,TW6 1AP,Heathrow Airport,Major international airport hub
242,Heathrow Terminal 4,51.458786,-0.447308,6,TW6 3XA,Heathrow Airport,International airport terminal
243,Heathrow Terminal 5,51.471247,-0.489157,6,TW6 2GA,Heathrow Airport,Newest airport terminal opened 2008
244,Hendon Central,51.583333,-0.226111,3,NW4 3RS,RAF Museum London nearby,Close to aviation museum
245,Heron Quays,51.502857,-0.021875,2,E14 4JB,-,Canary Wharf business district
246,High Barnet,51.650325,-0.194822,5,EN5 5RP,-,Northern line terminus
247,High Street Kensington,51.501148,-0.191953,1,W8 5ED,"Kensington Palace
Holland Park",Royal palace and Japanese garden
248,Highbury & Islington,51.546090,-0.103208,2,N5 1RN,-,Major transport interchange
249,Highgate,51.577692,-0.147158,3,N6 5UA,"Highgate Cemetery
Waterlow Park",Famous Victorian cemetery
250,Hillingdon,51.53901,-0.449221,6,UB10 9NU,-,-
251,Hither Green,51.464123,-0.027395,3,SE13 6TJ,-,-
252,Holborn,51.517775,-0.120438,1,WC1V 7AA,"British Museum nearby
Sir John Soane's Museum",Historic legal district
253,Holland Park,51.507299,-0.206503,2,W11 3RB,"Holland Park
Design Museum nearby",Japanese garden and peacocks
254,Holloway Road,51.552574,-0.112511,2,N7 8HL,-,-
255,Homerton,51.546738,-0.042644,2,E9 6BJ,-,-
256,Honor Oak Park,51.463817,-0.043611,3,SE23 1DY,-,-
257,Hoover Building,51.520837,-0.315651,4,W5 2SJ,-,-
258,Hornchurch,51.557194,0.220031,6,RM12 4QP,-,-
259,Hounslow Central,51.472025,-0.366544,3,TW3 1ES,-,-
260,Hounslow East,51.473361,-0.356028,4,TW3 1QS,-,-
261,Hounslow West,51.473611,-0.386389,5,TW4 5BS,-,-
262,Hyde Park Corner,51.502698,-0.152738,1,SW1X 7LY,"Hyde Park
Apsley House Wellington Museum
Wellington Arch",Historic corner with minimal surface building
263,Ickenham,51.561944,-0.442778,6,UB10 8LF,-,-
264,Imperial Wharf,51.472727,-0.182954,2,SW6 2PY,-,Riverside development
265,Island Gardens,51.487033,-0.010358,2,E14 3FA,Greenwich foot tunnel,Foot tunnel under Thames to Greenwich
266,Kennington,51.488137,-0.105447,2,SE11 4QJ,-,Charlie Chaplin's birthplace nearby
267,Kensal Green,51.530556,-0.225278,2,NW10 5JH,Kensal Green Cemetery,Historic Victorian cemetery
268,Kensal Rise,51.530833,-0.216667,2,NW10 3JA,-,-
269,Kensington (Olympia),51.498889,-0.208333,2,W14 8UX,Olympia exhibition center,Historic exhibition venue
270,Kentish Town,51.550833,-0.140278,2,NW5 2TZ,-,-
271,Kenton,51.581667,-0.316667,4,HA3 8RP,-,-
272,Kew Gardens,51.477778,-0.285833,3,TW9 3PZ,"Royal Botanic Gardens Kew
Kew Palace",UNESCO World Heritage botanical gardens
273,Kilburn,51.545833,-0.203333,2,NW6 7QL,-,-
274,Kilburn Park,51.534722,-0.194722,2,NW6 5SL,-,-
275,King's Cross St. Pancras,51.530556,-0.123889,1,N1C 4DQ,"British Library
Coal Drops Yard
St Pancras International",Platform 9¾ from Harry Potter films
276,Kingsbury,51.584722,-0.279167,4,NW9 9RR,-,-
277,Knightsbridge,51.501389,-0.160278,1,SW1X 7QA,"Harrods
Harvey Nichols
Hyde Park Corner",Luxury shopping district
278,Ladbroke Grove,51.517222,-0.206667,2,W10 6HJ,-,-
279,Lambeth North,51.498611,-0.111944,1,SE1 7LE,"Imperial War Museum
Archbishop's Park",Close to Lambeth Palace
280,Lancaster Gate,51.511944,-0.175556,1,W2 3NB,Hyde Park nearby,Grand Victorian terraces
281,Latimer Road,51.515278,-0.213889,2,W10 6RA,-,-
282,Leicester Square,51.511944,-0.128056,1,WC2H 7NA,"West End theatres
National Portrait Gallery
Chinatown",Heart of London's theatre district
283,Lewisham,51.465556,-0.014444,2,SE13 7EP,-,Major shopping center
284,Leyton,51.564167,0.005556,3,E10 5PS,-,-
285,Leytonstone,51.568611,0.008333,3,E11 1HE,Alfred Hitchcock connection,Director was born here in 1899
286,Limehouse,51.512222,-0.040556,2,E14 8DA,St Anne's Limehouse church,Historic Hawksmoor church
287,Liverpool Street,51.518056,-0.081944,1,EC2M 7PY,"Spitalfields Market
Old Spitalfields Market
Dennis Severs' House",Built on site of old Bedlam hospital
288,London Bridge,51.504722,-0.086389,1,SE1 9SP,"The Shard
Borough Market
HMS Belfast
Southwark Cathedral",London's first railway terminus (1836)
289,Loughton,51.641667,0.056111,6,IG10 4PY,Epping Forest nearby,Historic market town
290,Maida Vale,51.526389,-0.185278,2,W9 1PP,"Little Venice
Regent's Canal",Victorian mansion blocks area
291,Manor House,51.571111,-0.095833,2,N4 1BZ,Finsbury Park nearby,-
292,Mansion House,51.512222,-0.094444,1,EC4N 8BH,"Bank of England
Royal Exchange",Official residence of Lord Mayor
293,Marble Arch,51.513611,-0.158889,1,W1H 7EJ,"Hyde Park
Speakers' Corner",Named after the marble triumphal arch
294,Marylebone,51.522778,-0.163889,1,NW1 6JJ,"Wallace Collection
Regent's Park",Historic village absorbed into London
295,Mile End,51.525,-0.033611,2,E1 4DG,"Queen Mary University
Mile End Park",Historic coaching stop on Roman road
296,Mill Hill East,51.608333,-0.210278,4,NW7 1BS,-,-
297,Monument,51.510278,-0.085833,1,EC3R 8AH,"The Monument
London Bridge
Tower Bridge",Named after Christopher Wren's fire monument
298,Moor Park,51.629167,-0.431944,6,HA6 2JQ,-,-
299,Moorgate,51.518333,-0.088889,1,EC2Y 9AA,"Barbican nearby
Guildhall",Historic gate in London Wall
300,Morden,51.402222,-0.194722,4,SM4 5DX,-,Southern terminus of Northern line
301,Mudchute,51.492222,-0.015,2,E14 3HP,Mudchute Park and Farm,Largest city farm in London
302,Neasden,51.554167,-0.250556,3,NW10 1PH,-,-
303,New Cross,51.476389,-0.032778,2,SE14 6LD,Goldsmiths University nearby,Art school connection
304,New Cross Gate,51.475556,-0.040556,2,SE14 5UB,-,-
305,Newbury Park,51.575,-0.089722,4,IG2 7RH,-,-
